,new_games,xbox,playstation,nintendo,year,month
0,2,40,20,16,2005,01
1,3,26,14,16,2005,02
2,2,25,16,16,2005,03
3,2,29,13,13,2005,04
4,3,37,14,16,2005,05
5,2,32,16,11,2005,06
6,2,31,16,14,2005,07
7,4,35,15,13,2005,08
8,3,35,13,14,2005,09
9,3,37,11,13,2005,10
10,3,69,24,22,2005,11
11,5,64,28,26,2005,12
12,2,39,13,16,2006,01
13,2,33,10,14,2006,02
14,1,30,12,15,2006,03
15,1,32,9,17,2006,04
16,2,32,11,17,2006,05
17,2,35,11,20,2006,06
18,2,35,11,17,2006,07
19,2,36,11,19,2006,08
20,2,29,11,19,2006,09
21,3,35,14,21,2006,10
22,4,61,27,45,2006,11
23,2,74,28,51,2006,12
24,2,44,15,25,2007,01
25,2,35,15,22,2007,02
26,2,34,12,22,2007,03
27,1,34,10,22,2007,04
28,2,31,9,21,2007,05
29,1,32,12,25,2007,06
30,2,37,13,24,2007,07
31,2,33,12,22,2007,08
32,2,34,12,19,2007,09
33,2,32,10,21,2007,10
34,4,52,21,37,2007,11
35,3,62,29,51,2007,12
36,2,39,15,26,2008,01
37,3,35,13,22,2008,02
38,3,32,11,24,2008,03
39,2,22,11,20,2008,04
40,2,30,11,21,2008,05
41,2,34,11,24,2008,06
42,2,31,12,23,2008,07
43,2,33,10,21,2008,08
44,2,32,10,15,2008,09
45,2,32,8,20,2008,10
46,4,56,16,33,2008,11
47,4,66,20,48,2008,12
48,2,46,11,25,2009,01
49,2,38,9,19,2009,02
50,2,38,8,21,2009,03
51,3,35,8,22,2009,04
52,2,36,8,18,2009,05
53,2,44,10,22,2009,06
54,3,43,9,19,2009,07
55,2,43,9,20,2009,08
56,2,35,9,18,2009,09
57,2,39,11,18,2009,10
58,3,54,12,28,2009,11
59,4,61,17,38,2009,12
60,2,44,11,21,2010,01
61,3,38,9,17,2010,02
62,2,34,9,15,2010,03
63,2,31,7,13,2010,04
64,2,32,7,14,2010,05
65,2,38,9,14,2010,06
66,3,36,8,14,2010,07
67,2,34,7,12,2010,08
68,2,28,8,10,2010,09
69,2,30,9,10,2010,10
70,3,56,13,19,2010,11
71,3,69,17,22,2010,12
72,2,53,11,15,2011,01
73,2,42,9,12,2011,02
74,2,38,9,13,2011,03
75,2,36,9,13,2011,04
76,2,40,14,11,2011,05
77,3,48,16,14,2011,06
78,2,47,11,12,2011,07
79,2,41,9,14,2011,08
80,2,38,8,11,2011,09
81,2,42,8,11,2011,10
82,3,62,12,18,2011,11
83,3,73,13,21,2011,12
84,2,44,8,12,2012,01
85,2,37,10,11,2012,02
86,2,36,7,11,2012,03
87,2,31,7,9,2012,04
88,2,31,6,9,2012,05
89,2,37,7,10,2012,06
90,2,40,8,12,2012,07
91,2,36,7,11,2012,08
92,2,31,7,11,2012,09
93,2,30,6,10,2012,10
94,2,47,10,14,2012,11
95,2,59,11,19,2012,12
96,2,38,7,10,2013,01
97,2,37,8,10,2013,02
98,2,36,7,9,2013,03
99,2,31,6,9,2013,04
100,2,38,6,9,2013,05
101,2,61,12,13,2013,06
102,1,52,9,11,2013,07
103,2,46,9,10,2013,08
104,2,42,8,8,2013,09
105,2,37,9,10,2013,10
106,2,82,16,13,2013,11
107,2,98,16,17,2013,12
108,1,58,10,11,2014,01
109,1,50,10,9,2014,02
110,1,49,10,9,2014,03
111,1,42,9,8,2014,04
112,1,43,9,8,2014,05
113,2,56,10,11,2014,06
114,2,54,10,10,2014,07
115,2,55,10,9,2014,08
116,2,43,8,8,2014,09
117,2,41,8,8,2014,10
118,2,73,12,11,2014,11
119,2,87,17,16,2014,12
120,1,53,11,11,2015,01
121,2,47,10,10,2015,02
122,2,45,9,10,2015,03
123,2,42,8,9,2015,04
124,1,42,8,9,2015,05
125,2,58,10,10,2015,06
126,1,55,10,10,2015,07
127,2,53,10,9,2015,08
128,1,45,9,8,2015,09
129,2,47,8,9,2015,10
130,3,83,13,12,2015,11
131,2,100,16,15,2015,12
132,1,56,9,9,2016,01
133,2,48,8,9,2016,02
134,1,44,8,9,2016,03
135,1,41,8,7,2016,04
136,1,41,7,7,2016,05
137,2,52,10,9,2016,06
138,1,47,8,14,2016,07
139,1,41,8,9,2016,08
140,1,39,9,8,2016,09
141,1,40,11,10,2016,10
142,2,62,13,20,2016,11
143,2,81,16,19,2016,12
144,1,49,10,18,2017,01
145,1,41,9,15,2017,02
146,1,41,9,31,2017,03
147,1,38,7,18,2017,04
148,1,35,7,15,2017,05
149,1,45,9,18,2017,06
150,1,41,9,17,2017,07
151,1,37,8,15,2017,08
152,1,35,8,18,2017,09
153,1,34,8,20,2017,10
154,2,69,14,37,2017,11
155,2,76,16,49,2017,12
